,img_path,caption
101,./image/Anne_of_Green_Gables_ghibli_55.jpg,a group of people sitting next to each other
102,./image/Anne_of_Green_Gables_ghibli_56.jpg,a couple of people that are in the water
103,./image/Anne_of_Green_Gables_ghibli_57.jpg,a painting of two people walking down a dirt road
104,./image/Anne_of_Green_Gables_ghibli_58.jpg,a couple of women walking across a lush green field
105,./image/Anne_of_Green_Gables_ghibli_59.jpg,a group of people standing next to each other
106,./image/Anne_of_Green_Gables_ghibli_6.jpg,a woman with red hair and blue eyes looks at the camera
107,./image/Anne_of_Green_Gables_ghibli_60.jpg,a cartoon of two girls holding hands in the woods
108,./image/Anne_of_Green_Gables_ghibli_61.jpg,a girl with red hair and blue eyes standing in front of a tree
109,./image/Anne_of_Green_Gables_ghibli_62.jpg,a group of people standing in a forest
110,./image/Anne_of_Green_Gables_ghibli_63.jpg,a young girl in a white dress holding a basket
111,./image/Anne_of_Green_Gables_ghibli_64.jpg,a woman in a white dress standing in front of trees
112,./image/Anne_of_Green_Gables_ghibli_65.jpg,a little girl that is standing in front of some flowers
113,./image/Anne_of_Green_Gables_ghibli_66.jpg,a person standing in a field with cows
114,./image/Anne_of_Green_Gables_ghibli_67.jpg,a couple of women standing next to each other in a field
115,./image/Anne_of_Green_Gables_ghibli_68.jpg,a woman with red hair is looking up at the sky
116,./image/Anne_of_Green_Gables_ghibli_69.jpg,a painting of a house in a field
117,./image/Anne_of_Green_Gables_ghibli_7.jpg,a woman standing next to a man in a forest
118,./image/Anne_of_Green_Gables_ghibli_70.jpg,a person standing on a dirt road near a field
119,./image/Anne_of_Green_Gables_ghibli_71.jpg,a cartoon character with red hair and eyes closed
120,./image/Anne_of_Green_Gables_ghibli_72.jpg,a woman holding a bunch of flowers in a forest
121,./image/Anne_of_Green_Gables_ghibli_73.jpg,a woman in a black dress and hat running through a field
122,./image/Anne_of_Green_Gables_ghibli_74.jpg,a woman in a red hoodie is giving a present to a girl in a
123,./image/Anne_of_Green_Gables_ghibli_75.jpg,two people picking fruit in a garden
124,./image/Anne_of_Green_Gables_ghibli_76.jpg,a cartoon of a woman with red hair and blue eyes
125,./image/Anne_of_Green_Gables_ghibli_77.jpg,a group of people with hats on their heads
126,./image/Anne_of_Green_Gables_ghibli_78.jpg,a little girl sitting on the floor next to a bed
127,./image/Anne_of_Green_Gables_ghibli_79.jpg,a woman in a white dress is standing outside of a house
128,./image/Anne_of_Green_Gables_ghibli_8.jpg,a woman looking out of a window at a tree
129,./image/Anne_of_Green_Gables_ghibli_80.jpg,a couple of people that are standing in the snow
130,./image/Anne_of_Green_Gables_ghibli_81.jpg,a couple of women standing next to each other
131,./image/Anne_of_Green_Gables_ghibli_82.jpg,a cartoon character standing in front of a tv
132,./image/Anne_of_Green_Gables_ghibli_83.jpg,a painting of a girl with long red hair
133,./image/Anne_of_Green_Gables_ghibli_84.jpg,a couple of women standing next to each other
134,./image/Anne_of_Green_Gables_ghibli_85.jpg,a group of people standing around each other
135,./image/Anne_of_Green_Gables_ghibli_86.jpg,a little girl sitting on top of a lush green field
136,./image/Anne_of_Green_Gables_ghibli_87.jpg,a group of people walking across a lush green field
137,./image/Anne_of_Green_Gables_ghibli_88.jpg,a woman with red hair and a bow in her hair
138,./image/Anne_of_Green_Gables_ghibli_89.jpg,a painting of a horse grazing in a field
139,./image/Anne_of_Green_Gables_ghibli_9.jpg,a painting of people riding a horse drawn carriage
140,./image/Anne_of_Green_Gables_ghibli_90.jpg,a couple of people that are standing in the grass
141,./image/Anne_of_Green_Gables_ghibli_91.jpg,a woman holding a piece of paper in her hands
142,./image/Anne_of_Green_Gables_ghibli_92.jpg,a boy in a bow tie standing in front of a piano
143,./image/Anne_of_Green_Gables_ghibli_93.jpg,a couple of people standing in the snow
144,./image/Anne_of_Green_Gables_ghibli_94.jpg,a painting of a house surrounded by trees
145,./image/Anne_of_Green_Gables_ghibli_95.jpg,a woman with long red hair wearing a white dress and a crown
146,./image/Anne_of_Green_Gables_ghibli_96.jpg,a man and a woman sitting in a car
147,./image/Anne_of_Green_Gables_ghibli_97.jpg,a girl sitting at a table with a bowl of food
148,./image/Anne_of_Green_Gables_ghibli_98.jpg,a painting of a person standing on a beach
149,./image/Anne_of_Green_Gables_ghibli_99.jpg,a man and a woman standing next to each other
150,./image/Castle_in_The_Sky_1.jpg,a couple of people riding on top of a kite
151,./image/Castle_in_The_Sky_10.jpg,a couple of people with headphones on
152,./image/Castle_in_The_Sky_11.jpg,a person holding their hand up with a ring on it
153,./image/Castle_in_The_Sky_12.jpg,a woman standing on top of a brick wall
154,./image/Castle_in_The_Sky_13.jpg,a person eating a slice of pizza with a hat on
155,./image/Castle_in_The_Sky_14.jpg,a couple of people that are hugging each other
156,./image/Castle_in_The_Sky_15.jpg,a red train traveling down train tracks next to tall buildings
157,./image/Castle_in_The_Sky_16.jpg,a man and a woman standing next to each other
158,./image/Castle_in_The_Sky_17.jpg,a couple of people standing next to each other
159,./image/Castle_in_The_Sky_18.jpg,a woman standing in front of a brick wall
160,./image/Castle_in_The_Sky_19.jpg,a couple of people that are in a tree
161,./image/Castle_in_The_Sky_2.jpg,a group of people standing on top of a building
162,./image/Castle_in_The_Sky_20.jpg,a man and a woman riding in a hot air balloon
163,./image/Castle_in_The_Sky_21.jpg,a young girl holding a flower in her hands
164,./image/Castle_in_The_Sky_22.jpg,a hand holding a book open to a cartoon scene
165,./image/Castle_in_The_Sky_23.jpg,a cartoon character floating in the air
166,./image/Castle_in_The_Sky_24.jpg,a young boy wearing a hat in a forest
167,./image/Castle_in_The_Sky_25.jpg,a man with a hat holding a piece of wood
168,./image/Castle_in_The_Sky_26.jpg,a man playing a trumpet on top of a brick wall
169,./image/Castle_in_The_Sky_27.jpg,a couple of people that are flying in a kite
170,./image/Castle_in_The_Sky_28.jpg,a couple of people that are looking at something
171,./image/Castle_in_The_Sky_29.jpg,a young man with a brown vest and white shirt
172,./image/Castle_in_The_Sky_3.jpg,a painting of a train going through a city
173,./image/Castle_in_The_Sky_30.jpg,a girl with a flower in her hair
174,./image/Castle_in_The_Sky_31.jpg,a person on a ledge with a sky background
175,./image/Castle_in_The_Sky_32.jpg,a man playing a trumpet on top of a brick wall
176,./image/Castle_in_The_Sky_33.jpg,a man with a beard standing in front of a mirror
177,./image/Castle_in_The_Sky_34.jpg,a man in a hat and vest standing in a field
178,./image/Castle_in_The_Sky_35.jpg,a man and a woman walking through a jungle
179,./image/Castle_in_The_Sky_36.jpg,a painting of a green hill with buildings on it
180,./image/Castle_in_The_Sky_37.jpg,a girl with a red headband standing in front of a cactus
181,./image/Castle_in_The_Sky_38.jpg,a couple of people standing next to each other
182,./image/Castle_in_The_Sky_39.jpg,a cartoon character holding a trumpet on top of a brick wall
183,./image/Castle_in_The_Sky_4.jpg,a boy and a girl standing next to each other
184,./image/Castle_in_The_Sky_40.jpg,a couple of people that are hugging each other
185,./image/Castle_in_The_Sky_41.jpg,a man kneeling down next to a woman in a field
186,./image/Castle_in_The_Sky_42.jpg,a boy and a girl flying through the air
187,./image/Castle_in_The_Sky_43.jpg,a couple of people that are in the air
188,./image/Castle_in_The_Sky_44.jpg,a painting of a pink kite flying in the sky
189,./image/Castle_in_The_Sky_45.jpg,a couple of people sitting on top of a pile of rocks
190,./image/Castle_in_The_Sky_46.jpg,a cartoon picture of a man and a woman standing in front of a castle
191,./image/Castle_in_The_Sky_47.jpg,a woman carrying a child on her back
192,./image/Castle_in_The_Sky_48.jpg,a girl in a brown shirt and a brown hat
193,./image/Castle_in_The_Sky_49.jpg,a painting of a man and a woman hugging in front of a castle
194,./image/Castle_in_The_Sky_5.jpg,a painting of a garden with a lot of trees
195,./image/Castle_in_The_Sky_50.jpg,a cartoon of two people fighting over something
196,./image/Castle_in_The_Sky_51.jpg,a couple of people standing next to each other
197,./image/Castle_in_The_Sky_52.jpg,a couple of people standing next to each other
198,./image/Castle_in_The_Sky_53.jpg,a young girl standing next to a turtle
199,./image/Castle_in_The_Sky_54.jpg,a cartoon character holding onto a giant robot
200,./image/Castle_in_The_Sky_55.jpg,a girl with long braids standing in front of two white birds
201,./image/Castle_in_The_Sky_56.jpg,a couple of people standing next to each other
202,./image/Castle_in_The_Sky_57.jpg,a young girl sitting in front of a window
203,./image/Castle_in_The_Sky_58.jpg,a man and a woman standing in front of a castle
204,./image/Castle_in_The_Sky_59.jpg,a woman holding a white bird in her hands
205,./image/Castle_in_The_Sky_6.jpg,a boy and a girl who are touching each other
206,./image/Castle_in_The_Sky_60.jpg,a young boy wearing a yellow hat sitting on a bench
207,./image/Castle_in_The_Sky_61.jpg,a man with a hat and goggles on his head
208,./image/Castle_in_The_Sky_7.jpg,a couple of people standing next to each other
209,./image/Castle_in_The_Sky_8.jpg,a couple of people that are hugging each other
210,./image/Castle_in_The_Sky_9.jpg,a painting of a mountain scene with a castle
211,./image/Howls_Moving_Castle_1.jpg,a man and a woman standing on top of a lush green field
212,./image/Howls_Moving_Castle_10.jpg,a man and a woman standing on top of a hill
213,./image/Howls_Moving_Castle_11.jpg,a boy is holding a spoon and a fork in front of a bowl of soup
214,./image/Howls_Moving_Castle_12.jpg,a woman laying in bed next to a pile of books
215,./image/Howls_Moving_Castle_13.jpg,a woman with white hair is hugging another woman
216,./image/Howls_Moving_Castle_14.jpg,a cartoon character looking out of a window
217,./image/Howls_Moving_Castle_15.jpg,a woman with a knife in her hand
218,./image/Howls_Moving_Castle_16.jpg,a couple of people standing next to each other
219,./image/Howls_Moving_Castle_17.jpg,a man standing on top of a tall wooden pole
220,./image/Howls_Moving_Castle_18.jpg,a woman with long black hair laying on a couch
221,./image/Howls_Moving_Castle_19.jpg,a couple of people standing on top of a bridge
222,./image/Howls_Moving_Castle_2.jpg,a woman in a blue dress standing on a balcony
223,./image/Howls_Moving_Castle_20.jpg,a person laying on a bed in a room
224,./image/Howls_Moving_Castle_21.jpg,a young boy eating breakfast at a table
225,./image/Howls_Moving_Castle_22.jpg,a boy sitting at a picnic table eating food
226,./image/Howls_Moving_Castle_23.jpg,a man and a woman standing next to each other
227,./image/Howls_Moving_Castle_24.jpg,a person standing in front of a frying pan filled with eggs and bacon
228,./image/Howls_Moving_Castle_25.jpg,a group of people standing next to each other
229,./image/Howls_Moving_Castle_26.jpg,a cartoon picture of a person in a field with flowers
230,./image/Howls_Moving_Castle_27.jpg,a woman in a dress and hat standing in front of a mirror
231,./image/Howls_Moving_Castle_28.jpg,a cartoon character driving a car in front of a castle
232,./image/Howls_Moving_Castle_29.jpg,a close up of a cartoon character with big ears
233,./image/Howls_Moving_Castle_3.jpg,a couple of people that are hugging each other
234,./image/Howls_Moving_Castle_30.jpg,an anime character with a surprised look on his face
235,./image/Howls_Moving_Castle_31.jpg,a man in a top hat and black suit standing on a clothes line
236,./image/Howls_Moving_Castle_32.jpg,a group of people standing on top of a lush green field
237,./image/Howls_Moving_Castle_33.jpg,a man standing next to a horse on a street
238,./image/Howls_Moving_Castle_34.jpg,a person with a hat and a backpack
239,./image/Howls_Moving_Castle_35.jpg,a cartoon character standing in front of a fire
240,./image/Howls_Moving_Castle_36.jpg,a frying pan filled with eggs and bacon
241,./image/Howls_Moving_Castle_37.jpg,a couple of people that are standing in the sky
242,./image/Howls_Moving_Castle_38.jpg,a boy pulling a dog on a leash in a field
243,./image/Howls_Moving_Castle_39.jpg,a painting of a kitchen with a dog on the floor
244,./image/Howls_Moving_Castle_4.jpg,a cartoon picture of a man and a woman touching each other
245,./image/Howls_Moving_Castle_40.jpg,a fire in a fireplace with a face drawn on it
246,./image/Howls_Moving_Castle_41.jpg,an anime character with blonde hair and blue eyes
247,./image/Howls_Moving_Castle_42.jpg,a cartoon character with large wings and a blue dress
248,./image/Howls_Moving_Castle_43.jpg,a field full of pink flowers with a blue building in the background
249,./image/Howls_Moving_Castle_44.jpg,a man and a woman laying on a blanket in a field
250,./image/Howls_Moving_Castle_45.jpg,a room filled with lots of different types of items
251,./image/Howls_Moving_Castle_46.jpg,a man in a top hat is holding clothes
252,./image/Howls_Moving_Castle_47.jpg,a man in a suit and top hat standing on a clothes line
253,./image/Howls_Moving_Castle_48.jpg,a woman in a blue dress standing on a hill
254,./image/Howls_Moving_Castle_49.jpg,a man in a military uniform waving at the camera
255,./image/Howls_Moving_Castle_5.jpg,a boy sitting at a table in a room
256,./image/Howls_Moving_Castle_50.jpg,a man and a woman standing on a bridge
257,./image/Howls_Moving_Castle_51.jpg,a man in a top hat and suit is on a clothes line
258,./image/Howls_Moving_Castle_52.jpg,a painting of a field with flowers and clouds in the background
259,./image/Howls_Moving_Castle_53.jpg,a group of people standing next to each other
260,./image/Howls_Moving_Castle_54.jpg,a close up of a person wearing a necklace
261,./image/Howls_Moving_Castle_55.jpg,an anime character with white hair and black feathers
262,./image/Howls_Moving_Castle_56.jpg,a man with blonde hair wearing a white shirt
263,./image/Howls_Moving_Castle_57.jpg,a close up of a person with blue eyes
264,./image/Howls_Moving_Castle_58.jpg,a woman standing in front of a small house
265,./image/Howls_Moving_Castle_59.jpg,a couple of people that are in the dark
266,./image/Howls_Moving_Castle_6.jpg,a woman in a room with a chandelier
267,./image/Howls_Moving_Castle_60.jpg,a cartoon character in a top hat and suit
268,./image/Howls_Moving_Castle_61.jpg,a painting of a field with flowers and a mountain in the background
269,./image/Howls_Moving_Castle_62.jpg,a man and a woman flying through the air
270,./image/Howls_Moving_Castle_63.jpg,a couple of people that are sitting down
271,./image/Howls_Moving_Castle_64.jpg,a person with blonde hair and blue eyes
272,./image/Howls_Moving_Castle_65.jpg,a couple of people standing on top of a hill
273,./image/Howls_Moving_Castle_66.jpg,a couple of people standing on top of a hill
274,./image/Howls_Moving_Castle_67.jpg,a couple of people that are in the dark
275,./image/Howls_Moving_Castle_68.jpg,a man and a woman standing in front of a crowd of people
276,./image/Howls_Moving_Castle_69.jpg,a couple of people standing on top of a hill
277,./image/Howls_Moving_Castle_7.jpg,a person holding out their hand in front of a fire
278,./image/Howls_Moving_Castle_70.jpg,a cartoon character sitting on a bench in front of a fire
279,./image/Howls_Moving_Castle_71.jpg,a painting of flowers and vases on a shelf
280,./image/Howls_Moving_Castle_72.jpg,a cartoon character standing in a kitchen next to a table
281,./image/Howls_Moving_Castle_73.jpg,a couple of people standing next to each other
282,./image/Howls_Moving_Castle_74.jpg,a woman with long black hair sitting on a couch
283,./image/Howls_Moving_Castle_75.jpg,a woman standing in a field with a sky background
284,./image/Howls_Moving_Castle_76.jpg,a close up of a face with a fire in the background
285,./image/Howls_Moving_Castle_77.jpg,a man and a woman kissing on a balcony
286,./image/Howls_Moving_Castle_78.jpg,a cartoon character wearing a top hat and a bow tie
287,./image/Howls_Moving_Castle_79.jpg,a cartoon character holding a frying pan over a fire
288,./image/Howls_Moving_Castle_8.jpg,a girl sitting at a table in front of a window
289,./image/Howls_Moving_Castle_80.jpg,a close up of a clock with a painting on it
290,./image/Howls_Moving_Castle_81.jpg,a painting of two people standing in front of a fire
291,./image/Howls_Moving_Castle_82.jpg,a young boy eating breakfast at a table
292,./image/Howls_Moving_Castle_83.jpg,a living room filled with lots of books and furniture
293,./image/Howls_Moving_Castle_84.jpg,a close up of a clock with a bunch of things on it
294,./image/Howls_Moving_Castle_85.jpg,a couple of people standing on top of a lush green field
295,./image/Howls_Moving_Castle_86.jpg,a painting of a ship floating on top of a mountain
296,./image/Howls_Moving_Castle_87.jpg,a painting of a village by the water
297,./image/Howls_Moving_Castle_88.jpg,a painting of a living room with a fireplace
298,./image/Howls_Moving_Castle_89.jpg,an anime character with blonde hair and blue eyes
299,./image/Howls_Moving_Castle_9.jpg,a painting of a lake surrounded by flowers and mountains
300,./image/Kikis_Delivery_Service_1.jpg,a girl in a pink dress holding a cell phone
301,./image/Kikis_Delivery_Service_10.jpg,a black cat sitting on top of a shelf
302,./image/Kikis_Delivery_Service_11.jpg,a woman standing next to a dog in front of a car
303,./image/Kikis_Delivery_Service_12.jpg,a woman holding a black cat in her arms
304,./image/Kikis_Delivery_Service_13.jpg,a woman holding a black cat in front of a crowd of people
305,./image/Kikis_Delivery_Service_14.jpg,a girl sitting at a table with a notebook in front of her
306,./image/Kikis_Delivery_Service_15.jpg,a girl sitting at a table with a cat on her head
307,./image/Kikis_Delivery_Service_16.jpg,a girl looking out of a window in a garden
308,./image/Kikis_Delivery_Service_17.jpg,a man laying on top of a lush green field
309,./image/Kikis_Delivery_Service_18.jpg,a woman sitting on top of a building with a cat
310,./image/Kikis_Delivery_Service_19.jpg,a couple of people sitting on top of a grass covered field
311,./image/Kikis_Delivery_Service_2.jpg,a painting of a village by the water
312,./image/Kikis_Delivery_Service_20.jpg,a woman sitting on top of a red trolley car
313,./image/Kikis_Delivery_Service_21.jpg,a person sitting on the ground holding a bat
314,./image/Kikis_Delivery_Service_22.jpg,a woman standing on top of a roof next to cats
315,./image/Kikis_Delivery_Service_23.jpg,a black cat sitting in front of a window
316,./image/Kikis_Delivery_Service_24.jpg,a woman flying through the air next to a black cat
317,./image/Kikis_Delivery_Service_25.jpg,a woman flying through the air next to a bird
318,./image/Kikis_Delivery_Service_26.jpg,a young girl holding a broom in her hand
319,./image/Kikis_Delivery_Service_27.jpg,a young girl holding two brooms with a red bow on her head
320,./image/Kikis_Delivery_Service_28.jpg,a young girl holding a broom with a black cat behind her
321,./image/Kikis_Delivery_Service_29.jpg,a woman looking out of a window at a cat
322,./image/Kikis_Delivery_Service_3.jpg,a rug with various items on it on a wooden floor
323,./image/Kikis_Delivery_Service_30.jpg,a cartoon character flying over a city with seagulls
324,./image/Kikis_Delivery_Service_31.jpg,a little girl looking out a window at a black cat
325,./image/Kikis_Delivery_Service_32.jpg,a couple of people sitting at a table with a cat
326,./image/Kikis_Delivery_Service_33.jpg,a man sitting on a window sill talking on a phone
327,./image/Kikis_Delivery_Service_34.jpg,a woman standing in front of a red building
328,./image/Kikis_Delivery_Service_35.jpg,a black cat sitting on top of a sandy ground
329,./image/Kikis_Delivery_Service_36.jpg,a woman sitting on top of a wooden pole next to a black cat
330,./image/Kikis_Delivery_Service_37.jpg,a black cat looking out of a window
331,./image/Kikis_Delivery_Service_38.jpg,a black cat sitting on top of a wooden table
332,./image/Kikis_Delivery_Service_39.jpg,a black cat sitting on top of a window sill
333,./image/Kikis_Delivery_Service_4.jpg,a girl with a red bow on her head
334,./image/Kikis_Delivery_Service_40.jpg,a girl in a store looking at a black cat
335,./image/Kikis_Delivery_Service_41.jpg,a girl sitting on a hill looking at the sky
336,./image/Kikis_Delivery_Service_42.jpg,a painting of a house surrounded by flowers
337,./image/Kikis_Delivery_Service_43.jpg,a girl looking out of a window with ivy growing on it
338,./image/Kikis_Delivery_Service_44.jpg,a woman sitting at a table with a cat in her lap
